title,release_year,budget,revenue,loss,genres
Treasure Planet,2002,140000000.0,109578115.0,30421885.0,"Adventure, Animation, Family, Fantasy, Science Fiction"
Radio Flyer,1992,35000000.0,4651977.0,30348023.0,Drama
Nixon,1995,44000000.0,13681765.0,30318235.0,"History, Drama"
The Express,2008,40000000.0,9793496.0,30206504.0,Drama
Surviving Christmas,2004,45000000.0,14793624.0,30206376.0,"Comedy, Romance"
Little Buddha,1993,35000000.0,4858139.0,30141861.0,"Drama, History"
1911,2011,30000000.0,108348.0,29891652.0,"Adventure, Drama, Action, History, War"
Dominion: Prequel to the Exorcist,2005,30000000.0,251495.0,29748505.0,"Horror, Thriller"
The Insider,1999,90000000.0,60289912.0,29710088.0,"Drama, Thriller"
Mr. Saturday Night,1992,43000000.0,13300000.0,29700000.0,"Drama, Comedy"
Mortdecai,2015,60000000.0,30418560.0,29581440.0,"Comedy, Adventure"
Idiocracy,2006,30000000.0,495303.0,29504697.0,"Adventure, Comedy, Science Fiction"
Winter's Tale,2014,60000000.0,30800231.0,29199769.0,"Drama, Fantasy, Mystery, Romance"
Mission to Mars,2000,90000000.0,60874615.0,29125385.0,Science Fiction
Extreme Ops,2002,40000000.0,10959475.0,29040525.0,"Action, Adventure, Drama, Thriller"
TEKKEN,2010,30000000.0,967000.0,29033000.0,"Crime, Drama, Action, Thriller, Science Fiction"
King Arthur: Legend of the Sword,2017,175000000.0,146175066.0,28824934.0,"Action, Drama, Fantasy"
Thunderbirds,2004,57000000.0,28283637.0,28716363.0,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction"
The Adventures of Ford Fairlane,1990,49000000.0,20423389.0,28576611.0,"Action, Comedy, Thriller, Crime, Mystery"
Cats Don't Dance,1997,32000000.0,3566637.0,28433363.0,"Animation, Comedy, Family, Music"
Practical Magic,1998,75000000.0,46683377.0,28316623.0,"Drama, Fantasy, Comedy"
The Soloist,2009,60000000.0,31720158.0,28279842.0,Drama
Rebound,2005,45000000.0,16809014.0,28190986.0,"Comedy, Family"
My Favorite Martian,1999,65000000.0,36850101.0,28149899.0,"Comedy, Drama, Family, Science Fiction"
The Finest Hours,2016,80000000.0,52099090.0,27900910.0,"Action, Drama, History, Thriller"
Whiteout,2009,40000000.0,12206028.0,27793972.0,"Action, Crime, Mystery, Thriller"
White Squall,1996,38000000.0,10300000.0,27700000.0,"Action, Drama"
The Phantom,1996,45000000.0,17300889.0,27699111.0,"Adventure, Action"
Enemy Mine,1985,40000000.0,12303411.0,27696589.0,"Drama, Science Fiction"
Ballerina,2016,30000000.0,2351359.0,27648641.0,"Animation, Family, Adventure, Comedy"
Machine Gun Preacher,2011,30000000.0,2527904.0,27472096.0,"Action, Thriller, Crime"
The Chamber,1996,50000000.0,22540359.0,27459641.0,"Crime, Drama"
Super Mario Bros.,1993,48000000.0,20915465.0,27084535.0,"Adventure, Comedy, Family, Fantasy"
Domino,2005,50000000.0,22944502.0,27055498.0,"Action, Crime"
Silent Fall,1994,30000000.0,3180674.0,26819326.0,"Drama, Thriller, Mystery"
Trespass,2011,36000000.0,9612469.0,26387531.0,"Crime, Drama, Thriller"
The Gunman,2015,40000000.0,13644292.0,26355708.0,"Action, Drama, Crime"
Santa Claus: The Movie,1985,50000000.0,23717291.0,26282709.0,"Family, Fantasy, Adventure, Science Fiction, Comedy"
Nine,2009,80000000.0,53825515.0,26174485.0,"Drama, Music, Romance"
The Good German,2006,32000000.0,5914908.0,26085092.0,"War, Crime, Drama, Mystery, Romance, Thriller"
Speed Racer,2008,120000000.0,93945766.0,26054234.0,"Action, Family, Science Fiction"
The Relic,1997,60000000.0,33956608.0,26043392.0,"Horror, Mystery, Thriller"
A Hologram for the King,2016,30000000.0,4212494.0,25787506.0,"Comedy, Drama"
Memoirs of an Invisible Man,1992,40000000.0,14358033.0,25641967.0,"Comedy, Fantasy, Science Fiction"
Sin City: A Dame to Kill For,2014,65000000.0,39407616.0,25592384.0,"Crime, Thriller"
The Swan Princess,1994,35000000.0,9771658.0,25228342.0,Animation
Oldboy,2013,30000000.0,4861022.0,25138978.0,"Drama, Thriller, Mystery, Action"
